"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R11,R5";"R_0805_2012Metric";2;"100";;;
2;"D4,D2,D1";"D_SOD-323";3;"D_Schottky";;;
3;"R26,R24";"R_0805_2012Metric";2;"100k";;;
4;"R9,R13,R28,R8,R23,R15,R14,R2,R21,R16,R7,R3,R30,R17,R18,R19";"R_0805_2012Metric";16;"1M";;;
5;"J3";"1.5_mm_Through_Hole";1;"MODULE-";;;
6;"U2,U1";"SOT-23-5";2;"TLV7031DBV";;;
7;"H1";"M3_Mounting_Through_Hole";1;"~";;;
8;"Q1,Q5,Q3";"TSOT_23_No_Arrow";3;"PMOS";;;
9;"C5,C4,C3";"C_0805_2012Metric";3;"1u";;;
10;"R1";"R_0805_2012Metric";1;"Thermistor_PTC";;;
11;"R27,R25,R4,R10,R22,R6,R29,R12,R20";"R_0805_2012Metric";9;"R";;;
12;"J2";"1.5_mm_Through_Hole";1;"MODULE+";;;
13;"U4";"TPS71518DCKRM3";1;"TPS71518DCKRM3";;;
14;"U6";"SOT-23-6";1;"LTC1754";;;
15;"Q4,Q2";"TSOT_23_No_Arrow";2;"NMOS";;;
16;"F1";"R_0805_2012Metric";1;"SMD0805B110TF";;;
17;"U3";"TLV7032QDDFRQ1";1;"TLV7032QDDFRQ1";;;
18;"J1";"691502710002";1;"Screw_Terminal_1x2";;;
